platform,rgt,laser,year,month,day,centroid_lon,centroid_lat,total_width,non-iceberg_width,comment,azimuth
WV,786,2l,2016,12,4,-25.7625,-75.4675,16.5,16.5,-,-171.1
WV,786,2l,2016,12,11,-25.7625,-75.4675,18.3,18.3,-,-171.1
WV,786,2l,2017,11,17,-25.7625,-75.4675,211.7,211.7,-,-171.1
WV,786,2l,2017,11,22,-25.7625,-75.4675,215.1,215.1,-,-171.1
WV,786,2l,2018,3,13,-25.7625,-75.4675,303.8,303.8,-,-171.1
WV,786,2l,2018,12,4,-25.7625,-75.4675,543.0,543.0,-,-171.1
WV,786,2l,2019,4,11,-25.7625,-75.4675,645.8,645.8,-,-171.1
WV,786,2l,2019,9,18,-25.7625,-75.4675,765.3,765.3,-,-171.1
WV,786,2l,2019,11,2,-25.7625,-75.4675,909.5,869.7,iceberg,-171.1
WV,786,2l,2019,12,2,-25.7625,-75.4675,968.4,823.2,iceberg,-171.1
WV,786,2l,2020,3,22,-25.7625,-75.4675,1097.2,888.3,iceberg,-171.1
WV,786,2l,2020,3,24,-25.7625,-75.4675,1102.8,893.2,iceberg,-171.1
WV,786,2l,2020,11,29,-25.7625,-75.4675,1220.2,1108.4,iceberg,-171.1
WV,786,2l,2020,12,7,-25.7625,-75.4675,1225.8,1114.2,iceberg,-171.1
WV,786,2l,2020,12,9,-25.7625,-75.4675,1227.5,1115.8,iceberg,-171.1
WV,786,2l,2021,1,19,-25.7625,-75.4675,1204.6,1121.2,iceberg,-171.1
WV,786,2r,2016,12,4,-25.759,-75.4675,16.8,16.8,-,-171.1
WV,786,2r,2016,12,11,-25.759,-75.4675,17.6,17.6,-,-171.1
WV,786,2r,2017,11,17,-25.759,-75.4675,214.1,214.1,-,-171.1
WV,786,2r,2017,11,22,-25.759,-75.4675,212.2,212.2,-,-171.1
WV,786,2r,2018,3,13,-25.759,-75.4675,301.6,301.6,-,-171.1
WV,786,2r,2018,12,4,-25.759,-75.4675,538.6,538.6,-,-171.1
WV,786,2r,2019,4,11,-25.759,-75.4675,649.6,649.6,-,-171.1
WV,786,2r,2019,9,18,-25.759,-75.4675,872.7,832.3,iceberg,-171.1
WV,786,2r,2019,11,2,-25.759,-75.4675,950.7,801.9,iceberg,-171.1
WV,786,2r,2019,12,2,-25.759,-75.4675,987.9,827.6,iceberg,-171.1
WV,786,2r,2020,3,22,-25.759,-75.4675,1097.0,889.5,iceberg,-171.1
WV,786,2r,2020,3,24,-25.759,-75.4675,1100.5,894.5,iceberg,-171.1
WV,786,2r,2020,11,29,-25.759,-75.4675,1195.2,1094.5,iceberg,-171.1
WV,786,2r,2020,12,7,-25.759,-75.4675,1190.2,1093.5,iceberg,-171.1
WV,786,2r,2020,12,9,-25.759,-75.4675,1191.6,1098.4,iceberg,-171.1
WV,786,2r,2021,1,19,-25.759,-75.4675,1148.9,1148.9,-,-171.1
L8,786,2l,2017,11,12,-25.7625,-75.4675,192.0,192.0,-,-171.1
L8,786,2l,2017,12,21,-25.7625,-75.4675,223.0,223.0,-,-171.1
L8,786,2l,2017,12,30,-25.7625,-75.4675,232.0,232.0,-,-171.1
L8,786,2l,2018,1,8,-25.7625,-75.4675,243.0,243.0,-,-171.1
L8,786,2l,2018,2,14,-25.7625,-75.4675,272.0,272.0,-,-171.1
L8,786,2l,2018,3,11,-25.7625,-75.4675,284.0,284.0,-,-171.1
L8,786,2l,2018,9,28,-25.7625,-75.4675,475.0,475.0,-,-171.1
L8,786,2l,2018,10,5,-25.7625,-75.4675,483.0,483.0,-,-171.1
L8,786,2l,2018,10,12,-25.7625,-75.4675,500.0,500.0,-,-171.1
L8,786,2l,2018,10,14,-25.7625,-75.4675,497.0,497.0,-,-171.1
L8,786,2l,2018,10,21,-25.7625,-75.4675,494.0,494.0,-,-171.1
L8,786,2l,2018,11,29,-25.7625,-75.4675,532.0,532.0,-,-171.1
L8,786,2l,2019,1,18,-25.7625,-75.4675,568.0,568.0,-,-171.1
L8,786,2l,2019,2,19,-25.7625,-75.4675,602.0,602.0,-,-171.1
L8,786,2l,2019,3,23,-25.7625,-75.4675,607.0,607.0,-,-171.1
L8,786,2l,2019,10,1,-25.7625,-75.4675,799.0,799.0,-,-171.1
L8,786,2l,2019,10,17,-25.7625,-75.4675,856.0,788.0,iceberg,-171.1
L8,786,2l,2019,10,31,-25.7625,-75.4675,927.0,836.0,iceberg,-171.1
L8,786,2l,2019,11,2,-25.7625,-75.4675,913.0,821.0,iceberg,-171.1
L8,786,2l,2019,12,2,-25.7625,-75.4675,985.0,835.0,iceberg,-171.1
L8,786,2l,2019,12,27,-25.7625,-75.4675,966.0,811.0,iceberg,-171.1
L8,786,2l,2020,1,28,-25.7625,-75.4675,1038.0,860.0,iceberg,-171.1
L8,786,2l,2020,2,20,-25.7625,-75.4675,1084.0,871.0,iceberg,-171.1
L8,786,2l,2020,2,22,-25.7625,-75.4675,1083.0,863.0,iceberg,-171.1
L8,786,2l,2020,9,24,-25.7625,-75.4675,1170.0,979.0,iceberg,-171.1
L8,786,2l,2020,10,1,-25.7625,-75.4675,1172.0,986.0,iceberg,-171.1
L8,786,2l,2020,10,10,-25.7625,-75.4675,1184.0,1001.0,iceberg,-171.1
L8,786,2l,2020,10,19,-25.7625,-75.4675,1194.0,1020.0,iceberg,-171.1
L8,786,2l,2020,11,18,-25.7625,-75.4675,1214.0,1064.0,iceberg,-171.1
L8,786,2l,2020,12,22,-25.7625,-75.4675,1223.0,1094.0,iceberg,-171.1
L8,786,2l,2021,1,7,-25.7625,-75.4675,1210.0,1094.0,iceberg,-171.1
L8,786,2l,2021,2,6,-25.7625,-75.4675,1198.0,1130.0,iceberg,-171.1
L8,786,2l,2021,9,20,-25.7625,-75.4675,1067.0,1067.0,-,-171.1
