platform,rgt,laser,year,month,day,centroid_lon,centroid_lat,total_width,non-iceberg_width,comment,azimuth
WV,1160,3l,2016,12,4,-25.7374,-75.4718,16.7,16.7,-,-8.9
WV,1160,3l,2016,12,11,-25.7374,-75.4718,17.9,17.9,-,-8.9
WV,1160,3l,2017,11,17,-25.7374,-75.4718,224.7,224.7,-,-8.9
WV,1160,3l,2017,11,22,-25.7374,-75.4718,230.9,230.9,-,-8.9
WV,1160,3l,2018,3,13,-25.7374,-75.4718,318.8,318.8,-,-8.9
WV,1160,3l,2018,12,4,-25.7374,-75.4718,591.8,533.8,bridge,-8.9
WV,1160,3l,2019,4,11,-25.7374,-75.4718,806.6,612.7,bridge,-8.9
WV,1160,3l,2019,9,18,-25.7374,-75.4718,908.8,725.1,bridge,-8.9
WV,1160,3l,2019,11,2,-25.7374,-75.4718,932.2,768.6,bridge,-8.9
WV,1160,3l,2019,12,2,-25.7374,-75.4718,946.1,786.9,bridge,-8.9
WV,1160,3l,2020,2,15,-25.7374,-75.4718,965.0,853.4,bridge,-8.9
WV,1160,3l,2020,3,22,-25.7374,-75.4718,937.7,869.7,bridge,-8.9
WV,1160,3l,2020,3,24,-25.7374,-75.4718,937.7,876.1,bridge,-8.9
WV,1160,3l,2020,11,29,-25.7374,-75.4718,1070.7,1070.7,-,-8.9
WV,1160,3l,2020,12,7,-25.7374,-75.4718,1078.7,1078.7,-,-8.9
WV,1160,3l,2020,12,9,-25.7374,-75.4718,1081.7,1081.7,-,-8.9
WV,1160,3l,2021,1,19,-25.7374,-75.4718,1103.3,1103.3,-,-8.9
WV,1160,3l,2021,1,19,-25.7374,-75.4718,1102.8,1102.8,-,-8.9
WV,1160,3r,2016,12,4,-25.7407,-75.4719,16.8,16.8,-,-8.9
WV,1160,3r,2016,12,11,-25.7407,-75.4719,18.5,18.5,-,-8.9
WV,1160,3r,2017,11,17,-25.7407,-75.4719,219.6,219.6,-,-8.9
WV,1160,3r,2017,11,22,-25.7407,-75.4719,222.1,222.1,-,-8.9
WV,1160,3r,2018,3,13,-25.7407,-75.4719,319.4,319.4,-,-8.9
WV,1160,3r,2018,12,4,-25.7407,-75.4719,548.8,548.8,-,-8.9
WV,1160,3r,2019,4,11,-25.7407,-75.4719,781.6,617.8,bridge,-8.9
WV,1160,3r,2019,9,18,-25.7407,-75.4719,916.1,715.3,bridge,-8.9
WV,1160,3r,2019,11,2,-25.7407,-75.4719,941.3,760.7,bridge,-8.9
WV,1160,3r,2019,12,2,-25.7407,-75.4719,954.0,782.2,bridge,-8.9
WV,1160,3r,2020,2,15,-25.7407,-75.4719,1003.1,865.8,bridge,-8.9
WV,1160,3r,2020,3,22,-25.7407,-75.4719,998.5,882.9,bridge,-8.9
WV,1160,3r,2020,3,24,-25.7407,-75.4719,1001.2,884.4,bridge,-8.9
WV,1160,3r,2020,11,29,-25.7407,-75.4719,1070.2,1070.2,-,-8.9
WV,1160,3r,2020,12,7,-25.7407,-75.4719,1077.0,1077.0,-,-8.9
WV,1160,3r,2020,12,9,-25.7407,-75.4719,1079.3,1079.3,-,-8.9
WV,1160,3r,2021,1,19,-25.7407,-75.4719,1090.6,1090.6,-,-8.9
WV,1160,3r,2021,1,19,-25.7407,-75.4719,1088.6,1088.6,-,-8.9
L8,1160,3l,2017,11,12,-25.7374,-75.4718,221.0,221.0,-,-8.9
L8,1160,3l,2017,12,21,-25.7374,-75.4718,241.0,241.0,-,-8.9
L8,1160,3l,2017,12,30,-25.7374,-75.4718,246.0,246.0,-,-8.9
L8,1160,3l,2018,1,8,-25.7374,-75.4718,260.0,260.0,-,-8.9
L8,1160,3l,2018,2,14,-25.7374,-75.4718,269.0,269.0,-,-8.9
L8,1160,3l,2018,3,11,-25.7374,-75.4718,296.0,296.0,-,-8.9
L8,1160,3l,2018,9,28,-25.7374,-75.4718,475.0,475.0,-,-8.9
L8,1160,3l,2018,10,5,-25.7374,-75.4718,477.0,477.0,-,-8.9
L8,1160,3l,2018,10,12,-25.7374,-75.4718,484.0,484.0,-,-8.9
L8,1160,3l,2018,10,14,-25.7374,-75.4718,485.0,485.0,-,-8.9
L8,1160,3l,2018,10,21,-25.7374,-75.4718,493.0,493.0,-,-8.9
L8,1160,3l,2018,11,29,-25.7374,-75.4718,576.0,498.0,bridge,-8.9
L8,1160,3l,2019,1,18,-25.7374,-75.4718,684.0,536.0,bridge,-8.9
L8,1160,3l,2019,2,19,-25.7374,-75.4718,729.0,527.0,bridge,-8.9
L8,1160,3l,2019,3,23,-25.7374,-75.4718,758.0,538.0,bridge,-8.9
L8,1160,3l,2019,10,1,-25.7374,-75.4718,903.0,676.0,bridge,-8.9
L8,1160,3l,2019,10,17,-25.7374,-75.4718,912.0,697.0,bridge,-8.9
L8,1160,3l,2019,10,31,-25.7374,-75.4718,899.0,687.0,bridge,-8.9
L8,1160,3l,2019,11,2,-25.7374,-75.4718,914.0,704.0,bridge,-8.9
L8,1160,3l,2019,12,2,-25.7374,-75.4718,928.0,747.0,bridge,-8.9
L8,1160,3l,2019,12,27,-25.7374,-75.4718,950.0,791.0,bridge,-8.9
L8,1160,3l,2020,1,28,-25.7374,-75.4718,947.0,799.0,bridge,-8.9
