platform,rgt,laser,year,month,day,centroid_lon,centroid_lat,total_width,non-iceberg_width,comment,azimuth
WV,1099,2l,2017,4,2,-25.1061,-75.431,36.0,36.0,-,-8.9
WV,1099,2l,2017,11,17,-25.1061,-75.431,191.9,191.9,-,-8.9
WV,1099,2l,2017,11,21,-25.1061,-75.431,191.9,191.9,-,-8.9
WV,1099,2l,2019,1,8,-25.1061,-75.431,335.5,335.5,-,-8.9
WV,1099,2l,2019,4,12,-25.1061,-75.431,394.6,394.6,-,-8.9
WV,1099,2l,2019,9,17,-25.1061,-75.431,463.1,463.1,-,-8.9
WV,1099,2l,2019,11,2,-25.1061,-75.431,474.2,474.2,-,-8.9
WV,1099,2l,2019,12,12,-25.1061,-75.431,504.9,504.9,-,-8.9
WV,1099,2l,2020,3,18,-25.1061,-75.431,532.1,532.1,-,-8.9
WV,1099,2l,2020,3,22,-25.1061,-75.431,531.5,531.5,-,-8.9
WV,1099,2l,2020,10,30,-25.1061,-75.431,639.1,639.1,-,-8.9
WV,1099,2l,2020,11,29,-25.1061,-75.431,665.4,665.4,-,-8.9
WV,1099,2l,2021,1,19,-25.1061,-75.431,685.9,685.9,-,-8.9
WV,1099,2l,2021,9,7,-25.1061,-75.431,703.1,703.1,-,-8.9
WV,1099,2r,2017,4,2,-25.1091,-75.4315,39.3,39.3,-,-8.9
WV,1099,2r,2017,11,17,-25.1091,-75.4315,143.1,143.1,-,-8.9
WV,1099,2r,2017,11,21,-25.1091,-75.4315,162.2,162.2,-,-8.9
WV,1099,2r,2019,1,8,-25.1091,-75.4315,320.7,320.7,-,-8.9
WV,1099,2r,2019,4,12,-25.1091,-75.4315,415.3,415.3,-,-8.9
WV,1099,2r,2019,9,17,-25.1091,-75.4315,456.6,456.6,-,-8.9
WV,1099,2r,2019,11,2,-25.1091,-75.4315,487.4,487.4,-,-8.9
WV,1099,2r,2019,12,12,-25.1091,-75.4315,487.2,487.2,-,-8.9
