platform,rgt,laser,year,month,day,centroid_lon,centroid_lat,total_width,non-iceberg_width,comment,azimuth
WV,215,1l,2016,12,4,-25.7225,-75.4708,21.8,21.8,-,-8.9
WV,215,1l,2016,12,11,-25.7225,-75.4708,17.4,17.4,-,-8.9
WV,215,1l,2017,11,17,-25.7225,-75.4708,230.0,230.0,-,-8.9
WV,215,1l,2017,11,22,-25.7225,-75.4708,232.1,232.1,-,-8.9
WV,215,1l,2018,3,13,-25.7225,-75.4708,318.1,318.1,-,-8.9
WV,215,1l,2018,12,4,-25.7225,-75.4708,715.6,515.0,bridge,-8.9
WV,215,1l,2019,4,11,-25.7225,-75.4708,789.7,619.0,bridge,-8.9
WV,215,1l,2019,9,18,-25.7225,-75.4708,769.5,732.0,bridge,-8.9
WV,215,1l,2019,11,2,-25.7225,-75.4708,750.3,750.3,bridge,-8.9
WV,215,1l,2019,12,2,-25.7225,-75.4708,785.4,785.4,-,-8.9
WV,215,1l,2020,2,15,-25.7225,-75.4708,849.0,849.0,-,-8.9
WV,215,1l,2020,3,22,-25.7225,-75.4708,880.0,880.0,-,-8.9
WV,215,1l,2020,3,24,-25.7225,-75.4708,878.0,878.0,-,-8.9
WV,215,1l,2020,11,29,-25.7225,-75.4708,1118.3,1118.3,-,-8.9
WV,215,1l,2020,12,7,-25.7225,-75.4708,1088.4,1088.4,-,-8.9
WV,215,1l,2020,12,9,-25.7225,-75.4708,1120.3,1120.3,-,-8.9
WV,215,1l,2021,1,19,-25.7225,-75.4708,1112.3,1112.3,-,-8.9
WV,215,1l,2021,1,19,-25.7225,-75.4708,1118.5,1118.5,-,-8.9
WV,215,1r,2016,12,4,-25.7257,-75.471,14.0,14.0,-,-8.9
WV,215,1r,2016,12,11,-25.7257,-75.471,14.8,14.8,-,-8.9
WV,215,1r,2017,11,17,-25.7257,-75.471,228.8,228.8,-,-8.9
WV,215,1r,2017,11,22,-25.7257,-75.471,230.8,230.8,-,-8.9
WV,215,1r,2018,3,13,-25.7257,-75.471,321.0,321.0,-,-8.9
WV,215,1r,2018,12,4,-25.7257,-75.471,730.4,505.0,bridge,-8.9
WV,215,1r,2019,4,11,-25.7257,-75.471,798.9,628.0,bridge,-8.9
WV,215,1r,2019,9,18,-25.7257,-75.471,843.6,719.0,bridge,-8.9
WV,215,1r,2019,11,2,-25.7257,-75.471,806.2,756.0,-,-8.9
WV,215,1r,2019,12,2,-25.7257,-75.471,775.1,775.1,-,-8.9
WV,215,1r,2020,2,15,-25.7257,-75.471,834.0,834.0,-,-8.9
WV,215,1r,2020,3,22,-25.7257,-75.471,872.4,872.4,-,-8.9
WV,215,1r,2020,3,24,-25.7257,-75.471,874.0,874.0,-,-8.9
WV,215,1r,2020,11,29,-25.7257,-75.471,1077.8,1077.8,-,-8.9
WV,215,1r,2020,12,7,-25.7257,-75.471,1116.9,1116.9,-,-8.9
WV,215,1r,2020,12,9,-25.7257,-75.471,1097.8,1097.8,-,-8.9
WV,215,1r,2021,1,19,-25.7257,-75.471,1124.4,1124.4,-,-8.9
WV,215,1r,2021,1,19,-25.7257,-75.471,1129.8,1129.8,-,-8.9
L8,215,1l,2017,11,12,-25.7225,-75.4708,224.0,224.0,-,-8.9
L8,215,1l,2017,12,21,-25.7225,-75.4708,251.0,251.0,-,-8.9
L8,215,1l,2017,12,30,-25.7225,-75.4708,268.0,268.0,-,-8.9
L8,215,1l,2018,1,8,-25.7225,-75.4708,259.0,259.0,-,-8.9
L8,215,1l,2018,2,14,-25.7225,-75.4708,270.0,270.0,-,-8.9
L8,215,1l,2018,3,11,-25.7225,-75.4708,283.0,283.0,-,-8.9
L8,215,1l,2018,9,28,-25.7225,-75.4708,645.0,404.0,-,-8.9
L8,215,1l,2018,10,5,-25.7225,-75.4708,663.0,427.0,-,-8.9
L8,215,1l,2018,10,12,-25.7225,-75.4708,671.0,435.0,-,-8.9
L8,215,1l,2018,10,14,-25.7225,-75.4708,669.0,442.0,-,-8.9
L8,215,1l,2018,10,21,-25.7225,-75.4708,665.0,442.0,-,-8.9
L8,215,1l,2018,11,29,-25.7225,-75.4708,706.0,490.0,-,-8.9
L8,215,1l,2019,1,18,-25.7225,-75.4708,732.0,513.0,-,-8.9
L8,215,1l,2019,2,19,-25.7225,-75.4708,746.0,534.0,-,-8.9
L8,215,1l,2019,3,23,-25.7225,-75.4708,738.0,558.0,-,-8.9
L8,215,1l,2019,10,1,-25.7225,-75.4708,732.0,653.0,-,-8.9
L8,215,1l,2019,10,17,-25.7225,-75.4708,741.0,685.0,-,-8.9
